_id,content
62823f96701e8507b92cb24d,"På tal om [K], låt mig berätta om [N]"
62824236701e8507b92cb24f,Eftersom du nämnde [K] skulle du nog gilla [N]
62824261701e8507b92cb250,Hörde jag [K]? Det påminner mig om [N]
628242b8701e8507b92cb251,[N] är perfekt när det gäller [K]!
628242d5701e8507b92cb252,Prata inte om [K] utan att prata om [N]!
628616ae547fba0e67e17146,[K]? Du skulle nog gilla [N]
628616ca547fba0e67e17147,"På [K]-spåret, varför inte ge [N] ett försök?"
628616eb547fba0e67e17148,"[K]! Men du, då ska du kolla in [N]!"
62861701547fba0e67e17149,[N] är praktiskt taget definitionen av [K]
62861729547fba0e67e1714a,[K]? [N]
62861745547fba0e67e1714b,Som din personliga [K]-rådgivare skulle jag rekommendera [N]
628617f7547fba0e67e1714c,[N] kan [K]!
6286182c547fba0e67e1714d,[N] är lösningen på ditt [K]-problem
62861867547fba0e67e1714e,Andra som letat efter [K] har köpt [N]
62861911547fba0e67e1714f,Du skrev '[K]'. Menade du '[N]'?
62861931547fba0e67e17150,[K]? Är du fucking dum? Skaffa [N].
6286194d547fba0e67e17151,Jag hatar när folk snackar om [K] utan att ha [N]
62861998547fba0e67e17152,Du! Jag kom nyss att tänka på en grej.
628619de547fba0e67e17154,Jag säger bara två saker. [K]. [N].
628e0e76a16ec982d0777cdc,"[K], snarare [N]!"
628e0e8da16ec982d0777cdd,"[K], more like [N]!"
